* Measurement data measured by REW V5.20.3
* Source: Input device not selected, no input selected, R, volume: 0,000. Timing signal peak level -38,0 dBFS, measurement signal peak level -27,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.09.2022 17:18:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0,7512 ms (258 mm, 10,14 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Sep 133
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1190.838013 72.854 53.0615
1199.467285 70.669 -51.4131
1208.159180 67.831 -157.1562
1216.913940 68.730 145.5928
1225.732178 71.260 113.7725
1234.614380 72.531 76.5957
1243.560913 72.433 24.5977
1252.572266 71.511 -52.0098
1261.648926 70.824 -149.1055
1270.791382 70.543 127.4053
1280.000000 70.120 81.5547
1289.275391 70.277 73.1133
1298.618042 72.011 70.1924
1308.028320 72.924 48.5254
1317.506836 72.411 31.4854
1327.054077 73.327 27.7725
1336.670410 75.307 13.7109
1346.356567 75.370 -11.0459
1356.112793 74.052 -22.8096
1365.939697 73.962 -29.5811
1375.837891 75.077 -41.1035
1385.807739 76.327 -58.8994
1395.849854 77.100 -82.6406
1405.964844 77.437 -112.1660
1416.152954 77.038 -156.3223
1426.415039 74.933 129.3008
1436.751465 72.193 18.7266
1447.162720 72.545 -83.6270
1457.649414 74.485 -141.6582
1468.212158 76.317 177.6572
1478.851440 76.554 118.7734
1489.567871 74.567 23.0664
1500.361816 71.691 -111.1953
1511.234131 70.255 121.2637
1522.185059 68.957 20.8809
1533.215454 69.127 -77.2607
1544.325806 71.476 -161.4121
1555.516602 74.521 144.1611
1566.788574 76.474 94.2012
1578.142090 76.701 38.9268
1589.578003 75.105 -19.5723
1601.096680 71.918 -90.4062
1612.698975 69.279 162.0752
1624.385254 69.051 45.1406
1636.156250 69.452 -51.0371
1648.012451 69.682 -165.8887
1659.954590 71.255 40.4980
1671.983398 72.853 -90.3115
1684.099243 73.714 -177.7910
1696.302856 73.563 80.1396
1708.594971 71.847 -66.5605
1720.976196 71.787 166.5801
1733.447144 74.049 94.9473
1746.008423 75.166 23.3477
1758.660645 74.215 -88.7598
1771.404663 72.983 130.8311
1784.240967 73.560 10.5469
1797.170288 73.418 -101.9980
1810.193359 71.356 121.8750
1823.310791 68.592 -11.6562
1836.523193 68.550 -146.2607
1849.831421 69.724 33.7402
1863.236084 68.937 176.2959
1876.737793 66.826 -66.1162
1890.337524 66.073 4.1904
1904.035645 65.717 12.1260
1917.833008 66.570 6.2803
1931.730469 68.516 88.8018
1945.728638 69.583 -47.0996
1959.828125 70.560 -108.9219
1974.029907 71.485 173.9258
1988.334473 70.710 50.2168
2002.742798 69.388 -104.4170
2017.255493 70.052 72.6318
2031.873291 70.452 -73.3828
2046.597168 70.406 -148.6191
2061.427734 70.541 133.8770
2076.365479 71.165 21.3359
